Chunking Method,Avg Coherence,Avg Variance,Num Chunks
Fixed-200,0.8858933448791504,0.012299632068814858,40
Fixed-500,0.7419145107269287,0.005148256663233042,18
Fixed-1000,0.6896089315414429,0.001965185860171914,8
Sentence-3,0.8066461682319641,0.001799645135179162,18
Sentence-5,0.7461367249488831,0.0026773596182465553,11
Sentence-10,0.7103574275970459,0.001290175481699407,6
Recursive-500,0.7422654628753662,0.006047060247510672,18
Semantic,0.7104716897010803,0.0028887810185551643,4
